Name,Grinch Dodo,Gift Dodo,Reindodo,Conductor Dodo,Frosty The Snowman Dodo,Elf Dodo,Santa Dodo
Amander#5186,1,1,0,1,0,0,1
Aslla Piscu#4787,0,0,0,0,0,0,0
kfate#4200,0,0,0,0,0,1,0
Kleptomania#4945,1,1,1,0,1,1,0
PapaShirogane#3286,1,1,0,1,1,1,0
Tooo#0123,1,1,0,0,1,1,0
Sample Text#8489,0,0,0,0,0,0,0
HippoComet#0759,1,0,0,0,0,0,0
Artaxian#8834,0,1,0,0,0,0,1
Ylime#5711,0,0,0,0,0,0,0
neko#6020,0,0,0,0,0,0,0
Myeuki#5702,1,1,1,1,1,1,1
Paolo#0839,0,0,0,0,0,0,0
Pirocoid#1973,0,0,0,0,0,0,0
ThatSonicSalmon#6276,0,0,0,0,0,0,0
Student#1111,1,0,0,0,0,0,1
allyoop#1093,1,1,0,1,1,1,0
Amanda G.#1445,0,0,0,0,0,0,0
b.#5451,0,0,0,0,0,0,0
CannonFodder64#2921,0,0,0,0,0,0,0
Hegglun#3131,0,0,0,0,0,0,0
Johnathan's Dad#5895,0,0,0,0,0,0,0
scaredykat#9772,1,1,1,0,1,0,0
thaughtteana#3300,0,0,0,0,0,0,0
flameloader#2499,0,0,0,0,0,0,0
Krispy#5577,0,0,0,0,0,0,0
__𝓸𝓯𝓽 𝓱𝓾𝓰#9683,0,0,0,0,0,0,0
JazzNBlues#3988,0,0,0,0,0,0,0
Manny#4369,1,1,0,0,0,0,0